FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
228,N01H401,9/23/2011,23:18:09,Heptane,767.4,0.21,0.79,0,0,3.32,1.37,0.52,17.5,Extinction
229,N01H502,9/24/2011,0:06:41,Heptane,768.1,0.21,0.79,0,0,2.39,,0.57,10.6,Disruption
230,N01H601,9/24/2011,1:06:33,Heptane,769.2,0.21,0.79,0,0,3.65,2.85,0.57,9.6,Extinction
231,H02H101,9/24/2011,2:44:09,Heptane,758.8,0.19,0.71,0,0.1,2.59,,0.54,12,Disruption
232,H03H101,9/27/2011,12:08:14,Heptane,763.7,0.18,0.67,0,0.15,3.52,3.28,0.41,4.1,Extinction
233,H03H201,9/27/2011,13:00:54,Heptane,765.9,0.18,0.67,0,0.15,2.3,,0.49,9.1,Completion
234,H03H202,9/27/2011,13:25:07,Heptane,766.5,0.18,0.67,0,0.15,2.27,,0.51,8.6,Completion
235,H04H101,9/27/2011,15:00:33,Heptane,759.3,0.17,0.63,0,0.2,2.85,2.6,0.46,3.2,Extinction
236,H04H201,9/27/2011,15:12:24,Heptane,759.3,0.17,0.63,0,0.2,2.12,1.39,0.59,4.5,Extinction
237,H04H302,9/27/2011,16:18:19,Heptane,759.6,0.17,0.63,0,0.2,,,,1.7,Disruption
238,H04H303,9/27/2011,16:40:04,Heptane,759.8,0.17,0.63,0,0.2,1.61,,0.91,2.7,Completion
239,H04M101,10/1/2011,0:34:58,Methanol,754.2,0.17,0.63,0,0.2,2.99,,0.49,9.1,Extinction
240,H04M202,10/1/2011,1:21:41,Methanol,757,0.17,0.63,0,0.2,2.9,1.42,0.51,13.1,Extinction
241,H05M102,10/1/2011,2:58:40,Methanol,759.9,0.16,0.59,0,0.25,3.4,2.79,0.51,7.9,Extinction
242,H05M202,10/1/2011,4:26:52,Methanol,761,0.16,0.59,0,0.25,,,,5,Extinction
243,H05H103,10/5/2011,14:58:32,Heptane,757.9,0.16,0.59,0,0.25,1.49,0.69,0.6,2.9,Extinction
244,H06M102,10/7/2011,12:12:14,Methanol,755.6,0.15,0.55,0,0.3,3.67,3.47,0.43,3.6,Extinction
245,H06M201,10/7/2011,13:00:56,Methanol,756.7,0.15,0.55,0,0.3,2.52,2.06,0.56,4,Extinction
246,H07M101,10/7/2011,14:25:42,Methanol,759.2,0.14,0.51,0,0.35,2.44,2.26,0.56,1.5,Extinction
